trn,crossreg,euctr_hidden,notes
NCT04061382,ISRCTN11952463,NA,NA
NCT04406038,ISRCTN11060415,NA,NA
NCT04405934,ISRCTN50212645,NA,NA
NCT12345678,EUCTR2020-001684-89; ISRCTN40580903,NA,NA
NCT04369469,EUCTR2020-001497-30; JPRN-jRCT2031200126,NA,NA
NCT04583995,EUCTR2020-004123-16,NA,NA
NCT04712344,EUCTR2020-002122-82,NA,NA
NCT04512079,EUCTR2020-005763-31; CTRI/2020/11/029345,NA,NA
NCT04741386,EUCTR2021-000868-30,NA,NA
NCT04715438,EUCTR2021-000872-13,NA,NA
NCT04723394,EUCTR2020-005315-44; JPRN-jRCT2031200368,NA,NA
NCT04540120,EUCTR2020-005227-37,NA,NA
NCT04730206,EUCTR2020-005911-27,NA,NA
DRKS00024199,EUCTR2021-002506-27,1,NA
DRKS00021573,EUCTR2020-001470-30,1,NA
DRKS00021732,EUCTR2020-001431-27,NA,NA
NCT04547257,DRKS00022857,NA,NA
DRKS00024520,EUCTR2020-005544-34,NA,NA
DRKS00024585,EUCTR2020-003779-17,NA,NA
NCT04483960,ACTRN12621000738820,NA,NA
NCT04374461,CTRI/2020/06/026194,NA,NA
EUCTR2020-001671-32,CTRI/2020/08/027109,NA,NA
NCT04384926,CTRI/2020/05/025160,NA,NA
NCT04323644,CTRI/2020/05/025163,NA,NA
NCT04509986,CTRI/2020/09/027681,NA,NA
NCT04376684,EUCTR2020-001759-42; CTRI/2020/08/027205,NA,NA
NCT04362137,NCT04362137; EUCTR2020-001662-11; PER-030-20; CTRI/2020/09/027680,NA,NA
NCT04641195,CTRI/2021/04/032593,NA,NA
EUCTR2020-002229-27,CTRI/2021/05/033546,NA,NA
NCT04588480,JPRN-jRCT2071200045,NA,NA
NCT04655625,JPRN-jRCT2051200088,NA,NA
NCT04492475,JPRN-jRCT2031200092,NA,NA
NCT04657497,JPRN-jRCT2031200198,NA,NA
ISRCTN67000769,EUCTR2015-002340-14; JPRN-UMIN000043369; NCT02735707; ISRCTN67000769; JPRN-jRCT2031200443,NA,NA
NCT04863131,JPRN-jRCT2041210013,NA,NA
NCT04896541,JPRN-jRCT2071200111,NA,NA
