ids,trns
tri02223 (FALSE); tri03432 (TRUE),EUCTR2020-001573-78
tri02142 (TRUE); tri02226 (FALSE),EUCTR2020-001673-75
tri01367 (TRUE); tri02227 (FALSE),EUCTR2020-001497-30
tri02230 (FALSE); tri02461 (TRUE),EUCTR2020-001623-13
tri02235 (TRUE); tri06615 (TRUE),NCT04594668; EUCTR2020-001420-34
tri01170 (TRUE); tri02236 (FALSE),EUCTR2020-001732-10
tri02344 (TRUE); tri07283 (FALSE),EUCTR2020-004123-16; NCT04368988
tri02344 (TRUE),EUCTR2020-004123-16; NCT04368988
tri02387 (FALSE),NCT04406038; ISRCTN11060415
tri02387 (FALSE); tri08225 (FALSE),NCT04406038; ISRCTN11060415
tri02436 (FALSE); tri07082 (TRUE),EUCTR2020-002111-22
tri02437 (FALSE); tri05242 (TRUE),EUCTR2020-001904-41
tri02439 (FALSE); tri06256 (TRUE),EUCTR2020-001849-39
tri01014 (TRUE); tri02440 (FALSE),EUCTR2020-001951-42
tri02441 (FALSE); tri04046 (TRUE),EUCTR2015-002340-14
tri02442 (FALSE); tri05392 (TRUE),EUCTR2020-001038-36
tri01856 (TRUE); tri02443 (FALSE),EUCTR2020-002130-33
tri02447 (TRUE); tri08224 (TRUE),NCT04320615; EUCTR2020-001154-22; ISRCTN13593711
tri02461 (TRUE),NCT04348513; EUCTR2020-001623-13
tri02230 (FALSE); tri02461 (TRUE),NCT04348513; EUCTR2020-001623-13
tri02468 (TRUE),NCT04363827; EUCTR2020-001501-24
tri02468 (TRUE); tri03689 (FALSE),NCT04363827; EUCTR2020-001501-24
tri02535 (TRUE),NCT04410562; EUCTR2020-001587-29
tri00840 (FALSE); tri02535 (TRUE),NCT04410562; EUCTR2020-001587-29
tri02599 (TRUE),NCT04393246; EUCTR2020-002229-27; CTRI/2021/05/033546
tri02599 (TRUE); tri09318 (FALSE),NCT04393246; EUCTR2020-002229-27; CTRI/2021/05/033546
tri02652 (FALSE); tri07288 (TRUE),NCT04417335; EUCTR2020-001591-15; NL8547
tri02652 (FALSE),NCT04417335; EUCTR2020-001591-15; NL8547
tri02657 (TRUE); tri05790 (TRUE),ISRCTN59048638
tri02675 (TRUE); tri03217 (TRUE),EUCTR2020-001376-15; NCT04387409
tri01947 (FALSE); tri02886 (TRUE),EUCTR2020-001448-24; NCT04386070; PACTR202004893013257
tri02886 (TRUE),EUCTR2020-001448-24; NCT04386070; PACTR202004893013257
tri00651 (TRUE); tri02934 (TRUE),NCT04316377
tri02937 (TRUE),NCT04335305; EUCTR2020-001160-28
tri00833 (FALSE); tri02937 (TRUE),NCT04335305; EUCTR2020-001160-28
tri02944 (TRUE); tri02990 (TRUE),NCT04348656
tri02982 (TRUE),NCT04416399; EUCTR2020-001889-10
tri02982 (TRUE); tri03187 (FALSE),NCT04416399; EUCTR2020-001889-10
tri02990 (TRUE),NCT04418518; NCT04348656
tri02944 (TRUE); tri02990 (TRUE),NCT04418518; NCT04348656
tri03026 (TRUE),NCT04322682; EUCTR2020-001689-12
tri00841 (FALSE); tri03026 (TRUE),NCT04322682; EUCTR2020-001689-12
tri03027 (TRUE),NCT04325906; NCT04477655; NCT04395144; NCT04358939; NCT04347941; NCT04391140
tri03027 (TRUE); tri05731 (TRUE),NCT04325906; NCT04477655; NCT04395144; NCT04358939; NCT04347941; NCT04391140
tri02158 (TRUE); tri03027 (TRUE),NCT04325906; NCT04477655; NCT04395144; NCT04358939; NCT04347941; NCT04391140
tri01296 (TRUE); tri03027 (TRUE),NCT04325906; NCT04477655; NCT04395144; NCT04358939; NCT04347941; NCT04391140
tri00985 (TRUE); tri03027 (TRUE),NCT04325906; NCT04477655; NCT04395144; NCT04358939; NCT04347941; NCT04391140
tri03027 (TRUE); tri03220 (TRUE),NCT04325906; NCT04477655; NCT04395144; NCT04358939; NCT04347941; NCT04391140
tri03029 (TRUE),NCT04334460; RBR-2kjm6y
tri03029 (TRUE); tri05284 (FALSE),NCT04334460; RBR-2kjm6y
tri03086 (TRUE); tri05580 (TRUE); tri05866 (TRUE),NCT04492514; NCT04463004; NCT04399980
tri03086 (TRUE); tri05580 (TRUE),NCT04492514; NCT04463004; NCT04399980
tri03130 (TRUE),NCT04425460; EUCTR2020-001608-40
tri03130 (TRUE); tri04111 (TRUE),NCT04425460; EUCTR2020-001608-40
tri03166 (FALSE); tri05893 (TRUE),ACTRN12620000674932
tri03168 (TRUE),ISRCTN89951424; NCT04536051
tri03168 (TRUE); tri06214 (FALSE),ISRCTN89951424; NCT04536051
tri03185 (FALSE); tri05577 (TRUE),EUCTR2020-001636-95
tri03186 (FALSE); tri06939 (TRUE),EUCTR2020-002293-28
tri02982 (TRUE); tri03187 (FALSE),EUCTR2020-001889-10
tri03189 (FALSE); tri07896 (TRUE),EUCTR2020-002233-15
tri03192 (FALSE); tri04068 (TRUE),EUCTR2020-001736-95
tri03212 (TRUE); tri10336 (TRUE),NCT04382053; EUCTR2020-001870-32; CTRI/2020/08/027077; PER-055-20
tri03212 (TRUE),NCT04382053; EUCTR2020-001870-32; CTRI/2020/08/027077; PER-055-20
tri03027 (TRUE); tri03220 (TRUE),NCT04391140
tri03273 (FALSE); tri07375 (FALSE),NCT03963622
tri03340 (TRUE),NCT04362137; EUCTR2020-001662-11; PER-030-20; CTRI/2020/09/027680
tri03340 (TRUE); tri07422 (FALSE),NCT04362137; EUCTR2020-001662-11; PER-030-20; CTRI/2020/09/027680
tri03354 (FALSE),NCT04366986; ISRCTN13539303
tri03354 (FALSE); tri04149 (FALSE),NCT04366986; ISRCTN13539303
tri01401 (FALSE); tri03368 (TRUE),EUCTR2020-001709-21; NCT04373707
tri03368 (TRUE),EUCTR2020-001709-21; NCT04373707
tri03373 (FALSE),NCT04376684; EUCTR2020-001759-42; CTRI/2020/08/027205
tri03373 (FALSE); tri07421 (FALSE),NCT04376684; EUCTR2020-001759-42; CTRI/2020/08/027205
tri03427 (TRUE),NCT04405934; ISRCTN50212645
tri02218 (FALSE); tri03427 (TRUE),NCT04405934; ISRCTN50212645
tri03432 (TRUE),NCT04407689; EUCTR2020-001573-78
tri02223 (FALSE); tri03432 (TRUE),NCT04407689; EUCTR2020-001573-78
tri03542 (TRUE),NCT04438850; EUCTR2020-002283-32
tri03542 (TRUE); tri03981 (FALSE),NCT04438850; EUCTR2020-002283-32
tri03602 (TRUE),NCT04444674; PACTR202006922165132
tri03602 (TRUE); tri04418 (FALSE),NCT04444674; PACTR202006922165132
tri03604 (TRUE),NCT04444700; NCT04362085
tri01906 (TRUE); tri03604 (TRUE),NCT04444700; NCT04362085
tri03664 (TRUE),NCT04449380; EUCTR2020-002458-25
tri03664 (TRUE); tri03980 (FALSE),NCT04449380; EUCTR2020-002458-25
tri02468 (TRUE); tri03689 (FALSE),EUCTR2020-001501-24
tri03696 (FALSE); tri08408 (FALSE),EUCTR2020-001854-23
tri03871 (TRUE); tri06630 (FALSE),EUCTR2020-001325-31
tri03890 (FALSE); tri05935 (TRUE),EUCTR2020-002106-68
tri03893 (FALSE); tri05394 (FALSE),ISRCTN10175886
tri03911 (FALSE); tri06379 (TRUE),EUCTR2020-002494-10
tri01922 (TRUE); tri03940 (TRUE),ISRCTN15913068; EUCTR2020-001786-36; NCT04379076
tri01404 (FALSE); tri01922 (TRUE); tri03940 (TRUE),ISRCTN15913068; EUCTR2020-001786-36; NCT04379076
tri03664 (TRUE); tri03980 (FALSE),EUCTR2020-002458-25
tri03542 (TRUE); tri03981 (FALSE),EUCTR2020-002283-32
tri04046 (TRUE); tri09105 (FALSE),JPRN-UMIN000043369; EUCTR2015-002340-14; NCT02735707; ISRCTN67000769; JPRN-jRCT2031200443
tri02441 (FALSE); tri04046 (TRUE),JPRN-UMIN000043369; EUCTR2015-002340-14; NCT02735707; ISRCTN67000769; JPRN-jRCT2031200443
tri04046 (TRUE),JPRN-UMIN000043369; EUCTR2015-002340-14; NCT02735707; ISRCTN67000769; JPRN-jRCT2031200443
tri04046 (TRUE); tri09692 (FALSE),JPRN-UMIN000043369; EUCTR2015-002340-14; NCT02735707; ISRCTN67000769; JPRN-jRCT2031200443
tri04054 (FALSE); tri05712 (TRUE),EUCTR2020-002027-10
tri04061 (FALSE); tri07592 (FALSE),EUCTR2020-002299-11
tri03192 (FALSE); tri04068 (TRUE),EUCTR2020-001736-95; ISRCTN57085639
tri04068 (TRUE),EUCTR2020-001736-95; ISRCTN57085639
tri04069 (FALSE); tri06052 (TRUE),ISRCTN53038326; EUCTR2020-001805-21
tri02007 (FALSE); tri04069 (FALSE); tri06052 (TRUE),ISRCTN53038326; EUCTR2020-001805-21
tri03130 (TRUE); tri04111 (TRUE),EUCTR2020-001608-40
tri03354 (FALSE); tri04149 (FALSE),ISRCTN13539303
tri04200 (FALSE); tri07576 (FALSE),EUCTR2020-002122-82
tri04217 (FALSE); tri06736 (TRUE),EUCTR2020-001857-31
tri04223 (FALSE); tri09392 (FALSE),EUCTR2020-004743-83
tri04239 (FALSE); tri06054 (TRUE),EUCTR2020-002234-32
tri04284 (FALSE); tri08030 (FALSE),DRKS00022277
tri04414 (FALSE); tri05665 (TRUE),PACTR202007589336711
tri03602 (TRUE); tri04418 (FALSE),PACTR202006922165132
tri04421 (TRUE); tri06956 (TRUE),NCT04466241; PACTR202007720062393
tri04425 (TRUE); tri06191 (TRUE),PACTR202009726132275
tri04427 (FALSE); tri07947 (FALSE),PACTR202009642148520
tri01878 (FALSE); tri04499 (FALSE),CTRI/2020/05/025163
tri01933 (FALSE); tri04500 (FALSE),CTRI/2020/05/025160
tri01167 (TRUE); tri04528 (FALSE),CTRI/2020/05/025271
tri04561 (FALSE); tri06273 (TRUE),CTRI/2020/05/025370
tri04691 (TRUE),CTRI/2020/06/026192; EUCTR2020-001502-38; NCT04452435
tri04691 (TRUE); tri05461 (TRUE),CTRI/2020/06/026192; EUCTR2020-001502-38; NCT04452435
tri01805 (TRUE); tri04697 (FALSE),CTRI/2020/06/026228
tri04843 (TRUE),CTRI/2020/08/026957; NCT04494204
tri04843 (TRUE); tri05877 (TRUE),CTRI/2020/08/026957; NCT04494204
tri04990 (FALSE); tri05996 (FALSE),CTRI/2020/09/027681
tri05161 (FALSE); tri06896 (TRUE),CTRI/2020/11/028976
tri05242 (TRUE),ISRCTN31062548; EUCTR2020-001904-41
tri02437 (FALSE); tri05242 (TRUE),ISRCTN31062548; EUCTR2020-001904-41
tri05244 (FALSE); tri06266 (TRUE),EUCTR2020-002504-39
tri05245 (FALSE); tri08953 (TRUE),EUCTR2020-004695-18
tri03029 (TRUE); tri05284 (FALSE),RBR-2kjm6y
tri05301 (FALSE); tri06336 (TRUE),RBR-4nr86m
tri05392 (TRUE),NCT04380701; EUCTR2020-001038-36
tri02442 (FALSE); tri05392 (TRUE),NCT04380701; EUCTR2020-001038-36
tri05394 (FALSE),NCT04382508; ISRCTN10175886
tri03893 (FALSE); tri05394 (FALSE),NCT04382508; ISRCTN10175886
tri04691 (TRUE); tri05461 (TRUE),NCT04452435; EUCTR2020-001502-38
tri05577 (TRUE),NCT04462757; EUCTR2020-001636-95
tri03185 (FALSE); tri05577 (TRUE),NCT04462757; EUCTR2020-001636-95
tri03086 (TRUE); tri05580 (TRUE),NCT04399980; NCT04492514; NCT04463004
tri03086 (TRUE); tri05580 (TRUE); tri05866 (TRUE),NCT04399980; NCT04492514; NCT04463004
tri04414 (FALSE); tri05665 (TRUE),PACTR202007589336711; NCT04471831
tri05665 (TRUE),PACTR202007589336711; NCT04471831
tri05702 (TRUE); tri07829 (TRUE),KCT0005834; NCT04475107
tri04054 (FALSE); tri05712 (TRUE),EUCTR2020-002027-10; NCT04475601
tri05712 (TRUE),EUCTR2020-002027-10; NCT04475601
tri03027 (TRUE); tri05731 (TRUE),NCT04477655
tri05790 (TRUE),NCT04483830; ISRCTN59048638
tri02657 (TRUE); tri05790 (TRUE),NCT04483830; ISRCTN59048638
tri05792 (FALSE),NCT04483960; ACTRN12621000738820
tri05792 (FALSE); tri09823 (FALSE),NCT04483960; ACTRN12621000738820
tri05859 (FALSE),NCT04492254; EUCTR2020-003125-39; CTRI/2021/01/030373
tri05859 (FALSE); tri07535 (FALSE),NCT04492254; EUCTR2020-003125-39; CTRI/2021/01/030373
tri03086 (TRUE); tri05580 (TRUE); tri05866 (TRUE),NCT04492514
tri04843 (TRUE); tri05877 (TRUE),NCT04494204
tri01418 (FALSE); tri05886 (TRUE),EUCTR2020-001953-36; NCT04495101
tri05886 (TRUE),EUCTR2020-001953-36; NCT04495101
tri05893 (TRUE),NCT04495933; ACTRN12620000674932; ISRCTN51232965
tri03166 (FALSE); tri05893 (TRUE),NCT04495933; ACTRN12620000674932; ISRCTN51232965
tri05935 (TRUE),NCT04499677; EUCTR2020-002106-68
tri03890 (FALSE); tri05935 (TRUE),NCT04499677; EUCTR2020-002106-68
tri05951 (TRUE),NCT04501978; EUCTR2020-003278-37; CTRI/2021/01/030830
tri05951 (TRUE); tri07847 (FALSE),NCT04501978; EUCTR2020-003278-37; CTRI/2021/01/030830
tri05996 (FALSE),NCT04509986; CTRI/2020/09/027681
tri04990 (FALSE); tri05996 (FALSE),NCT04509986; CTRI/2020/09/027681
tri06019 (FALSE),NCT04512079; CTRI/2020/11/029345; EUCTR2020-005763-31
tri06019 (FALSE); tri08234 (FALSE),NCT04512079; CTRI/2020/11/029345; EUCTR2020-005763-31
tri04069 (FALSE); tri06052 (TRUE),ISRCTN53038326; EUCTR2020-001805-21; NCT04516915
tri02007 (FALSE); tri04069 (FALSE); tri06052 (TRUE),ISRCTN53038326; EUCTR2020-001805-21; NCT04516915
tri06052 (TRUE),ISRCTN53038326; EUCTR2020-001805-21; NCT04516915
tri06054 (TRUE),NCT04516941; EUCTR2020-002234-32
tri04239 (FALSE); tri06054 (TRUE),NCT04516941; EUCTR2020-002234-32
tri06081 (TRUE),NCT04520620; EUCTR2020-001823-15
tri01267 (FALSE); tri06081 (TRUE),NCT04520620; EUCTR2020-001823-15
tri06094 (TRUE),NCT04522466; EUCTR2020-001281-11
tri00649 (FALSE); tri06094 (TRUE),NCT04522466; EUCTR2020-001281-11
tri04425 (TRUE); tri06191 (TRUE),PACTR202009726132275; NCT04533399
tri06191 (TRUE),PACTR202009726132275; NCT04533399
tri03168 (TRUE); tri06214 (FALSE),NCT04536051
tri06256 (TRUE),NCT04541979; EUCTR2020-001849-39
tri02439 (FALSE); tri06256 (TRUE),NCT04541979; EUCTR2020-001849-39
tri06266 (TRUE),NCT04542408; EUCTR2020-002504-39
tri05244 (FALSE); tri06266 (TRUE),NCT04542408; EUCTR2020-002504-39
tri06273 (TRUE),NCT04542876; CTRI/2020/05/025370
tri04561 (FALSE); tri06273 (TRUE),NCT04542876; CTRI/2020/05/025370
tri06302 (FALSE),NCT04547257; DRKS00022857
tri06302 (FALSE); tri09841 (FALSE),NCT04547257; DRKS00022857
tri06336 (TRUE),NCT04552483; RBR-4nr86m
tri05301 (FALSE); tri06336 (TRUE),NCT04552483; RBR-4nr86m
tri06348 (TRUE); tri07329 (TRUE),NCT04555148
tri06379 (TRUE),NCT04559074; ISRCTN16393332; EUCTR2020-002494-10
tri06379 (TRUE); tri08417 (FALSE),NCT04559074; ISRCTN16393332; EUCTR2020-002494-10
tri03911 (FALSE); tri06379 (TRUE),NCT04559074; ISRCTN16393332; EUCTR2020-002494-10
tri02235 (TRUE); tri06615 (TRUE),EUCTR2020-001420-34; NCT04594668
tri06630 (FALSE),NCT04596943; EUCTR2020-001325-31
tri03871 (TRUE); tri06630 (FALSE),NCT04596943; EUCTR2020-001325-31
tri06655 (TRUE); tri08942 (FALSE),EUCTR2020-003369-20; PER-105-20; NCT04602000
tri06655 (TRUE),EUCTR2020-003369-20; PER-105-20; NCT04602000
tri06667 (FALSE),NCT04603105; ISRCTN15019599
tri06667 (FALSE); tri07233 (FALSE),NCT04603105; ISRCTN15019599
tri06722 (FALSE),NCT04611269; ISRCTN78284710
tri06722 (FALSE); tri08422 (FALSE),NCT04611269; ISRCTN78284710
tri06736 (TRUE),NCT04614025; EUCTR2020-001857-31
tri04217 (FALSE); tri06736 (TRUE),NCT04614025; EUCTR2020-001857-31
tri01398 (FALSE); tri06787 (TRUE),EUCTR2020-001635-27; NCT04622865
tri06787 (TRUE),EUCTR2020-001635-27; NCT04622865
tri06895 (FALSE),NCT04641195; CTRI/2021/04/032593
tri06895 (FALSE); tri09242 (FALSE),NCT04641195; CTRI/2021/04/032593
tri05161 (FALSE); tri06896 (TRUE),CTRI/2020/11/028976; NCT04641481
tri06896 (TRUE),CTRI/2020/11/028976; NCT04641481
tri06911 (FALSE),NCT04643691; EUCTR2020-001766-11
tri01399 (FALSE); tri06911 (FALSE),NCT04643691; EUCTR2020-001766-11
tri03186 (FALSE); tri06939 (TRUE),EUCTR2020-002293-28; NCT04647604
tri06939 (TRUE),EUCTR2020-002293-28; NCT04647604
tri06971 (TRUE),NCT04492475; JPRN-jRCT2031200092
tri06971 (TRUE); tri09090 (FALSE),NCT04492475; JPRN-jRCT2031200092
tri06999 (FALSE),NCT04540120; EUCTR2020-005227-37
tri06999 (FALSE); tri09831 (FALSE),NCT04540120; EUCTR2020-005227-37
tri07001 (TRUE),EUCTR2020-002871-36; PER-095-20; NCT04545060
tri07001 (TRUE); tri10339 (FALSE),EUCTR2020-002871-36; PER-095-20; NCT04545060
tri07002 (FALSE); tri10117 (TRUE),NCT04546581; EUCTR2020-002542-16; JPRN-jRCT2031200174
tri07002 (FALSE),NCT04546581; EUCTR2020-002542-16; JPRN-jRCT2031200174
tri02436 (FALSE); tri07082 (TRUE),EUCTR2020-002111-22; NCT04648800
tri07082 (TRUE),EUCTR2020-002111-22; NCT04648800
tri07141 (TRUE),NCT04657497; JPRN-jRCT2031200198
tri07141 (TRUE); tri09091 (FALSE),NCT04657497; JPRN-jRCT2031200198
tri01075 (FALSE); tri07171 (TRUE),EUCTR2020-001255-40; NCT04661527
tri07171 (TRUE),EUCTR2020-001255-40; NCT04661527
tri07225 (TRUE),ISRCTN27106947; EUCTR2020-001860-27; NCT04746183
tri07225 (TRUE); tri09395 (FALSE),ISRCTN27106947; EUCTR2020-001860-27; NCT04746183
tri06667 (FALSE); tri07233 (FALSE),ISRCTN15019599
tri07283 (FALSE),NCT04583995; EUCTR2020-004123-16
tri02344 (TRUE); tri07283 (FALSE),NCT04583995; EUCTR2020-004123-16
tri07285 (FALSE); tri07423 (TRUE),NCT04509973; EUCTR2020-003363-25; CTRI/2020/10/028731
tri07285 (FALSE); tri07423 (TRUE); tri08258 (FALSE),NCT04509973; EUCTR2020-003363-25; CTRI/2020/10/028731
tri02652 (FALSE); tri07288 (TRUE),NCT04417335
tri06348 (TRUE); tri07329 (TRUE),NCT04555148; KCT0005649
tri07329 (TRUE),NCT04555148; KCT0005649
tri03373 (FALSE); tri07421 (FALSE),CTRI/2020/08/027205
tri03340 (TRUE); tri07422 (FALSE),CTRI/2020/09/027680
tri05859 (FALSE); tri07535 (FALSE),CTRI/2021/01/030373
tri07576 (FALSE),NCT04712344; EUCTR2020-002122-82
tri04200 (FALSE); tri07576 (FALSE),NCT04712344; EUCTR2020-002122-82
tri07592 (FALSE),NCT04718480; EUCTR2020-002299-11
tri04061 (FALSE); tri07592 (FALSE),NCT04718480; EUCTR2020-002299-11
tri05702 (TRUE); tri07829 (TRUE),NCT04475107; KCT0005834
tri05951 (TRUE); tri07847 (FALSE),CTRI/2021/01/030830
tri03189 (FALSE); tri07896 (TRUE),EUCTR2020-002233-15; NCT04750759
tri07896 (TRUE),EUCTR2020-002233-15; NCT04750759
tri07947 (FALSE),NCT04695197; PACTR202009642148520
tri04427 (FALSE); tri07947 (FALSE),NCT04695197; PACTR202009642148520
tri08030 (FALSE),NCT04780295; DRKS00022277
tri04284 (FALSE); tri08030 (FALSE),NCT04780295; DRKS00022277
tri08065 (FALSE),EUCTR2020-005979-12; NCT04928430
tri08065 (FALSE); tri10204 (FALSE),EUCTR2020-005979-12; NCT04928430
tri08068 (TRUE),NCT04671017; EUCTR2020-005062-33; ISRCTN82411169
tri08068 (TRUE); tri08426 (FALSE),NCT04671017; EUCTR2020-005062-33; ISRCTN82411169
tri08138 (TRUE); tri08139 (TRUE),ChiCTR2100041705; ChiCTR2100041706
tri08138 (TRUE); tri08139 (TRUE),ChiCTR2100041706; ChiCTR2100041705
tri08163 (FALSE),NCT04788459; EUCTR2020-003734-20
tri08163 (FALSE); tri08261 (FALSE),NCT04788459; EUCTR2020-003734-20
tri08184 (FALSE),NCT04801940; ISRCTN15851697; EUCTR2021-001187-25
tri08184 (FALSE); tri08810 (FALSE),NCT04801940; ISRCTN15851697; EUCTR2021-001187-25
tri02387 (FALSE); tri08225 (FALSE),ISRCTN11060415
tri06019 (FALSE); tri08234 (FALSE),EUCTR2020-005763-31
tri08236 (FALSE); tri08276 (TRUE),EUCTR2020-005828-11
tri08255 (FALSE); tri10177 (TRUE),EUCTR2020-005919-51
tri07285 (FALSE); tri07423 (TRUE); tri08258 (FALSE),EUCTR2020-003363-25
tri08163 (FALSE); tri08261 (FALSE),EUCTR2020-003734-20
tri08263 (FALSE); tri08295 (FALSE),EUCTR2021-000868-30
tri08236 (FALSE); tri08276 (TRUE),EUCTR2020-005828-11; NCT04680949
tri08276 (TRUE),EUCTR2020-005828-11; NCT04680949
tri08295 (FALSE),NCT04741386; EUCTR2021-000868-30
tri08263 (FALSE); tri08295 (FALSE),NCT04741386; EUCTR2021-000868-30
