id,date_completion,date_cutoff,publication_any,publication_article,publication_preprint,publication_summary,publication_interim_any,date_publication_any,date_publication_article,date_publication_preprint,date_publication_summary,date_publication_interim_any,time_publication_any,time_publication_article,time_publication_preprint,time_publication_summary,time_publication_interim_any
tri02446,2020-06-30,2021-08-15,TRUE,TRUE,FALSE,TRUE,TRUE,2020-05-27,2020-05-27,NA,2020-12-31,2020-05-27,-34,-34,411,184,-34
tri02447,2020-07-28,2021-08-15,TRUE,TRUE,TRUE,TRUE,TRUE,2020-09-01,2021-02-25,2020-09-01,2021-06-30,2020-09-01,35,212,35,337,35
tri02450,2020-12-30,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-05-19,2021-05-19,NA,NA,2021-05-19,140,140,228,228,140
tri02455,2020-09-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,348,348,348,348,348
tri02458,2021-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,107,107,107,107,107
tri02461,2021-05-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,2021-06-11,76,76,76,76,11
tri02462,2021-04-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,136,136,136,136,136
tri02465,2020-05-30,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-08-02,NA,2021-08-02,NA,2021-08-02,429,442,429,442,429
tri02467,2020-08-12,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,368,368,368,368,368
tri02471,2021-02-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,195,195,195,195,195
tri02473,2021-05-12,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,95,95,95,95,95
tri02477,2020-12-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,228,228,228,228,228
tri02480,2021-02-22,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,174,174,174,174,174
tri02482,2020-12-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,257,257,257,257,257
tri02483,2021-03-08,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,160,160,160,160,160
tri02484,2021-06-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,75,75,75,75,75
tri02486,2021-04-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,136,136,136,136,136
tri02497,2020-10-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,318,318,318,318,318
tri02499,2020-06-22,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-06-03,2021-06-03,NA,NA,2021-06-03,346,346,419,419,346
tri02513,2020-07-31,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-11-06,2020-11-06,NA,NA,2020-11-06,98,98,380,380,98
tri02516,2021-01-24,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,203,203,203,203,203
tri02518,2021-01-12,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,215,215,215,215,215
tri02519,2020-09-25,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-12-07,2021-06-23,2020-12-07,NA,2020-12-07,73,271,73,324,73
tri02532,2021-06-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,75,75,75,75,75
tri02539,2021-06-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,75,75,75,75,75
tri02543,2021-05-19,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,88,88,88,88,88
tri02556,2021-02-22,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-05-11,NA,2021-05-11,NA,2021-05-11,78,174,78,174,78
tri02558,2020-12-20,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,238,238,238,238,238
tri02559,2020-07-22,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-09-02,2020-09-02,NA,NA,2020-09-02,42,42,389,389,42
tri02562,2020-05-29,2021-08-15,TRUE,TRUE,FALSE,TRUE,TRUE,2020-09-09,2020-09-09,NA,2021-06-22,2020-09-09,103,103,443,389,103
tri02563,2020-05-26,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,446,446,446,446,446
tri02565,2020-11-04,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,284,284,284,284,284
tri02568,2020-06-01,2021-08-15,TRUE,FALSE,TRUE,TRUE,TRUE,2020-07-08,NA,2020-07-08,2020-11-04,2020-07-08,37,440,37,156,37
tri02569,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46
tri02570,2020-05-29,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,443,443,443,443,443
tri02571,2020-08-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,349,349,349,349,349
tri02577,2020-11-30,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-06-18,2021-06-18,NA,NA,2020-08-11,200,200,258,258,-111
tri02578,2020-12-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,257,257,257,257,257
tri02581,2021-03-29,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,139,139,139,139,139
tri02586,2021-05-01,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-08-04,2021-08-04,NA,NA,2021-08-04,95,95,106,106,95
tri02589,2020-12-21,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,237,237,237,237,237
tri02592,2021-04-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,136,136,136,136,136
tri02597,2020-09-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,348,348,348,348,348
tri02598,2020-09-23,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,326,326,326,326,326
tri02615,2020-06-23,2021-08-15,TRUE,TRUE,TRUE,FALSE,TRUE,2020-07-25,2020-11-16,2020-07-25,NA,2020-07-25,32,146,32,418,32
tri02631,2020-09-15,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,334,334,334,334,334
tri02632,2021-02-01,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-03-29,NA,2021-03-29,NA,2021-03-29,56,195,56,195,56
tri02637,2020-11-15,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,273,273,273,273,273
tri02643,2021-02-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,195,195,195,195,195
tri02644,2021-05-01,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2020-04-01,2020-04-01,NA,NA,2020-04-01,-395,-395,106,106,-395
