id,date_completion,date_cutoff,publication_any,publication_article,publication_preprint,publication_summary,publication_interim_any,date_publication_any,date_publication_article,date_publication_preprint,date_publication_summary,date_publication_interim_any,time_publication_any,time_publication_article,time_publication_preprint,time_publication_summary,time_publication_interim_any,month_completion,semester,semester_fct
tri08015,2021-06-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,75,75,75,75,75,2021-06-01,3,Jan 2021-Jun 2021
tri08019,2021-05-05,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,102,102,102,102,102,2021-05-01,3,Jan 2021-Jun 2021
tri08055,2020-11-15,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,273,273,273,273,273,2020-11-01,2,July 2020-Dec 2020
tri08099,2021-06-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,75,75,75,75,75,2021-06-01,3,Jan 2021-Jun 2021
tri08101,2020-10-10,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-05-28,2021-05-28,NA,NA,2021-05-28,230,230,309,309,230,2020-10-01,2,July 2020-Dec 2020
tri08103,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46,2021-06-01,3,Jan 2021-Jun 2021
tri08107,2020-11-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,258,258,258,258,258,2020-11-01,2,July 2020-Dec 2020
tri08114,2020-12-19,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,239,239,239,239,239,2020-12-01,2,July 2020-Dec 2020
tri08138,2021-03-27,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-08-09,NA,2021-08-09,NA,2021-08-09,135,141,135,141,135,2021-03-01,3,Jan 2021-Jun 2021
tri08140,2021-03-27,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,141,141,141,141,141,2021-03-01,3,Jan 2021-Jun 2021
tri08142,2020-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,411,411,411,411,411,2020-06-01,1,Jan 2020-Jun 2020
tri08147,2021-02-20,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-06-15,2021-06-15,NA,NA,2021-06-15,115,115,176,176,115,2021-02-01,3,Jan 2021-Jun 2021
tri08148,2021-02-19,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,177,177,177,177,177,2021-02-01,3,Jan 2021-Jun 2021
tri08152,2021-03-28,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,140,140,140,140,140,2021-03-01,3,Jan 2021-Jun 2021
tri08159,2021-03-10,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,158,158,158,158,158,2021-03-01,3,Jan 2021-Jun 2021
tri08164,2021-06-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,75,75,75,75,75,2021-06-01,3,Jan 2021-Jun 2021
tri08221,2021-02-05,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-04-20,NA,2021-04-20,NA,2021-04-20,74,191,74,191,74,2021-02-01,3,Jan 2021-Jun 2021
tri08274,2021-01-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,197,197,197,197,197,2021-01-01,3,Jan 2021-Jun 2021
tri08276,2021-03-31,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-05-18,NA,2021-05-18,NA,2021-05-18,48,137,48,137,48,2021-03-01,3,Jan 2021-Jun 2021
tri08279,2021-06-02,2021-08-15,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,2021-08-08,74,74,74,74,67,2021-06-01,3,Jan 2021-Jun 2021
tri08314,2021-06-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,75,75,75,75,75,2021-06-01,3,Jan 2021-Jun 2021
tri08319,2021-03-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,167,167,167,167,167,2021-03-01,3,Jan 2021-Jun 2021
tri08330,2021-03-20,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,148,148,148,148,148,2021-03-01,3,Jan 2021-Jun 2021
tri08347,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46,2021-06-01,3,Jan 2021-Jun 2021
tri08350,2020-07-21,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-04-04,NA,2021-04-04,NA,2021-04-04,257,390,257,390,257,2020-07-01,2,July 2020-Dec 2020
tri08351,2021-02-28,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,168,168,168,168,168,2021-02-01,3,Jan 2021-Jun 2021
tri08355,2021-05-25,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,82,82,82,82,82,2021-05-01,3,Jan 2021-Jun 2021
tri08411,2021-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,107,107,107,107,107,2021-04-01,3,Jan 2021-Jun 2021
tri08418,2021-03-10,2021-08-15,TRUE,TRUE,FALSE,FALSE,TRUE,2021-08-11,2021-08-11,NA,NA,2021-08-11,154,154,158,158,154,2021-03-01,3,Jan 2021-Jun 2021
tri08434,2021-03-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,137,137,137,137,137,2021-03-01,3,Jan 2021-Jun 2021
tri08435,2021-03-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,137,137,137,137,137,2021-03-01,3,Jan 2021-Jun 2021
tri08436,2021-03-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,137,137,137,137,137,2021-03-01,3,Jan 2021-Jun 2021
tri08437,2020-12-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,227,227,227,227,227,2020-12-01,2,July 2020-Dec 2020
tri08446,2020-12-09,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,249,249,249,249,249,2020-12-01,2,July 2020-Dec 2020
tri08457,2021-03-25,2021-08-15,TRUE,FALSE,FALSE,TRUE,TRUE,2021-04-08,NA,NA,2021-04-08,2021-04-08,14,143,143,14,14,2021-03-01,3,Jan 2021-Jun 2021
tri08464,2021-05-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,106,106,106,106,106,2021-05-01,3,Jan 2021-Jun 2021
tri08469,2021-03-12,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,156,156,156,156,156,2021-03-01,3,Jan 2021-Jun 2021
tri08473,2021-05-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,77,77,77,77,77,2021-05-01,3,Jan 2021-Jun 2021
tri08475,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46,2021-06-01,3,Jan 2021-Jun 2021
tri08505,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46,2021-06-01,3,Jan 2021-Jun 2021
tri08537,2021-05-31,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,76,76,76,76,76,2021-05-01,3,Jan 2021-Jun 2021
tri08544,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46,2021-06-01,3,Jan 2021-Jun 2021
tri08546,2020-12-04,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,254,254,254,254,254,2020-12-01,2,July 2020-Dec 2020
tri08568,2020-11-15,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,273,273,273,273,273,2020-11-01,2,July 2020-Dec 2020
tri08571,2021-04-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,107,107,107,107,107,2021-04-01,3,Jan 2021-Jun 2021
tri08594,2021-06-30,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,46,46,46,46,46,2021-06-01,3,Jan 2021-Jun 2021
tri08600,2021-01-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,226,226,226,226,226,2021-01-01,3,Jan 2021-Jun 2021
tri08607,2021-01-10,2021-08-15,TRUE,FALSE,TRUE,FALSE,TRUE,2021-04-19,NA,2021-04-19,NA,2021-04-19,99,217,99,217,99,2021-01-01,3,Jan 2021-Jun 2021
tri08632,2020-08-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,379,379,379,379,379,2020-08-01,2,July 2020-Dec 2020
tri08635,2020-07-01,2021-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,410,410,410,410,410,2020-07-01,2,July 2020-Dec 2020
