id,date_completion_rcd_latest,date_completion_rcd_latest_pre_cutoff,date_completion_last_updated_exclude_missing_update_date,date_completion_last_updated_prefer_euctr,trial_status_last_updated_prefer_euctr,status_complete_last_updated_prefer_euctr,trn_ictrp_priority,date_completion_ictrp,date_completion_22_21_last_updated_prefer_euctr,date_completion_study_last_updated_prefer_euctr,date_completion_results
tri00001,NA,NA,NA,NA,NA,NA,NCT04246242,NA,NA,NA,NA
tri00002,2020-04-30,2020-04-30,2020-04-30,2020-04-30,Completed,TRUE,NCT04252885,2020-04-30,2020-04-30,2020-05-31,2020-04-18
tri00005,2020-07-01,2020-07-01,2020-07-01,2020-07-01,Not yet recruiting,FALSE,NCT04260594,2020-07-01,2020-03-12,2020-12-30,NA
tri00006,2020-04-30,2020-04-30,2020-04-30,2020-04-30,Not yet recruiting,FALSE,NCT04261426,2020-04-30,2020-04-30,2020-06-30,NA
tri00007,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Not yet recruiting,FALSE,NCT04261907,2020-05-31,2020-05-31,2020-06-30,NA
tri00010,2020-06-01,2020-06-01,2020-06-01,2020-06-01,Not yet recruiting,FALSE,ChiCTR2000029947,2020-06-01,2020-06-01,2020-06-01,NA
tri00011,2020-06-01,2020-06-01,2020-06-01,2020-06-01,Not yet recruiting,FALSE,ChiCTR2000029941,2020-06-01,2020-06-01,2020-06-01,NA
tri00012,2021-02-06,2021-02-06,2021-02-06,2021-02-06,Recruiting,FALSE,ChiCTR2000029939,2021-02-06,2021-02-06,2021-02-06,NA
tri00013,2021-02-06,2021-02-06,2021-02-06,2021-02-06,Recruiting,FALSE,ChiCTR2000029935,2021-02-06,2021-02-06,2021-02-06,NA
tri00019,2020-06-30,2020-06-30,2020-06-30,2020-06-30,Not yet recruiting,FALSE,ChiCTR2000029869,2020-06-30,2020-06-30,2020-06-30,NA
tri00020,2021-02-28,2021-02-28,2021-02-28,2021-02-28,Recruiting,FALSE,ChiCTR2000029867,2021-02-28,2021-02-28,2021-02-28,NA
tri00021,NA,NA,NA,NA,NA,NA,ChiCTR2000029855,NA,NA,NA,NA
tri00022,2020-04-16,2020-04-16,2020-04-16,2020-04-16,Recruiting,FALSE,ChiCTR2000029853,2020-04-16,2020-04-16,2020-04-16,NA
tri00023,2022-02-15,NA,2022-02-15,2022-02-15,Recruiting,FALSE,ChiCTR2000029850,2022-02-15,2022-02-15,2022-02-15,NA
tri00024,2021-02-01,2021-02-01,2021-02-01,2021-02-01,Recruiting,FALSE,ChiCTR2000029849,2021-02-01,2021-02-01,2021-02-01,NA
tri00026,2020-04-30,2020-04-30,2020-04-30,2020-04-30,Suspending,FALSE,ChiCTR2000029822,2020-04-30,2020-04-30,2020-04-30,NA
tri00028,2020-08-11,2020-08-11,2020-08-11,2020-08-11,Recruiting,FALSE,ChiCTR2000029819,2020-08-11,2020-08-11,2020-08-11,NA
tri00030,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Recruiting,FALSE,ChiCTR2000029814,2020-12-31,2020-12-31,2020-12-31,NA
tri00031,2020-08-14,2020-08-14,2020-08-14,2020-08-14,Recruiting,FALSE,ChiCTR2000029813,2020-08-14,2020-08-14,2020-08-14,NA
tri00032,2021-02-20,2021-02-20,2021-02-20,2021-02-20,Not yet recruiting,FALSE,ChiCTR2000029811,2021-02-20,2021-02-20,2021-02-20,NA
tri00034,2021-01-31,2021-01-31,2021-01-31,2021-01-31,Recruiting,FALSE,ChiCTR2000029806,2021-01-31,2021-01-31,2021-01-31,NA
tri00037,2020-10-31,2020-10-31,2020-10-31,2020-10-31,Recruiting,FALSE,ChiCTR2000029790,2020-10-31,2020-10-31,2020-10-31,NA
tri00038,2021-06-30,2021-06-30,2021-06-30,2021-06-30,Recruiting,FALSE,ChiCTR2000029789,2021-06-30,2021-06-30,2021-06-30,NA
tri00039,2020-12-30,2020-12-30,2020-12-30,2020-12-30,Not yet recruiting,FALSE,ChiCTR2000029788,2020-12-30,2020-12-30,2020-12-30,NA
tri00043,2020-06-30,2020-06-30,2020-06-30,2020-06-30,Recruiting,FALSE,ChiCTR2000029777,2020-06-30,2020-06-30,2020-06-30,2020-04-22
tri00044,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Recruiting,FALSE,ChiCTR2000029776,2020-12-31,2020-12-31,2020-12-31,NA
tri00045,2020-04-30,2020-04-30,2020-04-30,2020-04-30,Not yet recruiting,FALSE,ChiCTR2000029769,2020-04-30,2020-04-30,2020-04-30,NA
tri00046,2020-05-12,2020-05-12,2020-05-12,2020-05-12,Recruiting,FALSE,ChiCTR2000029768,2020-05-12,2020-05-12,2020-05-12,NA
tri00047,2020-05-10,2020-05-10,2020-05-10,2020-05-10,Recruiting,FALSE,ChiCTR2000029765,2020-05-10,2020-05-10,2020-05-10,NA
tri00049,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Recruiting,FALSE,ChiCTR2000029763,2020-05-31,2020-05-31,2020-05-31,2020-03-07
tri00051,2022-02-15,NA,2022-02-15,2022-02-15,Recruiting,FALSE,ChiCTR2000029756,2022-02-15,2022-02-15,2022-02-15,NA
tri00054,2021-02-10,2021-02-10,2021-02-10,2021-02-10,Recruiting,FALSE,ChiCTR2000029747,2021-02-10,2021-02-10,2021-02-10,NA
tri00055,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Recruiting,FALSE,ChiCTR2000029742,2020-12-31,2020-12-31,2020-12-31,NA
tri00056,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Recruiting,FALSE,ChiCTR2000029741,2020-12-31,2020-12-31,2020-12-31,NA
tri00057,2021-08-31,NA,2021-08-31,2021-08-31,Recruiting,FALSE,ChiCTR2000029739,2021-08-31,2021-08-31,2021-08-31,NA
tri00062,2020-04-14,2020-04-14,2020-04-14,2020-04-14,Not yet recruiting,FALSE,ChiCTR2000029656,2020-04-14,2020-04-14,2020-04-14,NA
tri00063,2020-09-30,2020-09-30,2020-09-30,2020-09-30,Recruiting,FALSE,ChiCTR2000029639,2020-09-30,2020-09-30,2020-09-30,NA
tri00065,2020-07-30,2020-07-30,2020-07-30,2020-07-30,Recruiting,FALSE,ChiCTR2000029636,2020-07-30,2020-07-30,2020-07-30,NA
tri00070,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Recruiting,FALSE,ChiCTR2000029621,2020-12-31,2020-12-31,2020-12-31,NA
tri00071,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Not yet recruiting,FALSE,ChiCTR2000029609,2020-12-31,2020-12-31,2020-12-31,2020-03-08
tri00072,2022-12-31,NA,2022-12-31,2022-12-31,Recruiting,FALSE,ChiCTR2000029606,2022-12-31,2022-12-31,2022-12-31,NA
tri00073,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Recruiting,FALSE,ChiCTR2000029603,2020-05-31,2020-05-31,2020-05-31,NA
tri00074,2020-08-01,2020-08-01,2020-08-01,2020-08-01,Recruiting,FALSE,ChiCTR2000029602,2020-08-01,2020-08-01,2020-08-01,NA
tri00075,2020-08-01,2020-08-01,2020-08-01,2020-08-01,Recruiting,FALSE,ChiCTR2000029601,2020-08-01,2020-08-01,2020-08-01,2020-02-24
tri00076,2020-04-29,2020-04-29,2020-04-29,2020-04-29,Recruiting,FALSE,ChiCTR2000029600,2020-04-29,2020-04-29,2020-04-29,NA
tri00077,2020-04-30,2020-04-30,2020-04-30,2020-04-30,Recruiting,FALSE,ChiCTR2000029578,2020-04-30,2020-04-30,2020-04-30,NA
tri00078,2021-04-30,2021-04-30,2021-04-30,2021-04-30,Not yet recruiting,FALSE,ChiCTR2000029572,2021-04-30,2021-04-30,2021-04-30,NA
tri00079,2021-04-30,2021-04-30,2021-04-30,2021-04-30,Not yet recruiting,FALSE,ChiCTR2000029569,2021-04-30,2021-04-30,2021-04-30,NA
tri00080,2020-02-29,2020-02-29,2020-02-29,2020-02-29,Recruiting,FALSE,ChiCTR2000029559,2020-02-29,2020-02-29,2020-02-29,NA
tri00082,2020-06-03,2020-06-03,2020-06-03,2020-06-03,Not yet recruiting,FALSE,ChiCTR2000029548,2020-06-03,2020-06-03,2020-06-03,NA
tri00083,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Not yet recruiting,FALSE,ChiCTR2000029544,2020-05-31,2020-05-31,2020-05-31,NA
tri00084,2020-07-30,2020-07-30,2020-07-30,2020-07-30,Recruiting,FALSE,ChiCTR2000029542,2020-07-30,2020-07-30,2020-07-30,NA
tri00085,2020-12-01,2020-12-01,2020-12-01,2020-12-01,Not yet recruiting,FALSE,ChiCTR2000029541,2020-12-01,2020-12-01,2020-12-01,NA
tri00086,2021-02-02,2021-02-02,2021-02-02,2021-02-02,Recruiting,FALSE,ChiCTR2000029539,2021-02-02,2021-02-02,2021-02-02,NA
tri00087,2020-04-30,2020-04-30,2020-04-30,2020-04-30,Recruiting,FALSE,ChiCTR2000029518,2020-04-30,2020-04-30,2020-04-30,NA
tri00088,2020-04-30,2020-04-30,2020-04-30,2020-04-30,Recruiting,FALSE,ChiCTR2000029517,2020-04-30,2020-04-30,2020-04-30,NA
tri00089,2021-12-31,NA,2021-12-31,2021-12-31,Not yet recruiting,FALSE,ChiCTR2000029495,2021-12-31,2021-12-31,2021-12-31,NA
tri00090,2021-12-31,NA,2021-12-31,2021-12-31,Not yet recruiting,FALSE,ChiCTR2000029493,2021-12-31,2021-12-31,2021-12-31,NA
tri00091,2020-03-31,2020-03-31,2020-03-31,2020-03-31,Not yet recruiting,FALSE,ChiCTR2000029487,2020-03-31,2020-03-31,2020-03-31,NA
tri00092,2020-06-30,2020-06-30,2020-06-30,2020-06-30,Not yet recruiting,FALSE,ChiCTR2000029468,2020-06-30,2020-06-30,2020-06-30,NA
tri00094,2021-12-31,NA,2021-12-31,2021-12-31,Not yet recruiting,FALSE,ChiCTR2000029461,2021-12-31,2021-12-31,2021-12-31,NA
tri00095,2021-12-31,NA,2021-12-31,2021-12-31,Not yet recruiting,FALSE,ChiCTR2000029460,2021-12-31,2021-12-31,2021-12-31,NA
tri00096,2021-12-31,NA,2021-12-31,2021-12-31,Not yet recruiting,FALSE,ChiCTR2000029459,2021-12-31,2021-12-31,2021-12-31,NA
tri00097,2021-12-31,NA,2021-12-31,2021-12-31,Not yet recruiting,FALSE,ChiCTR2000029439,2021-12-31,2021-12-31,2021-12-31,NA
tri00098,2021-12-01,NA,2021-12-01,2021-12-01,Not yet recruiting,FALSE,ChiCTR2000029438,2021-12-01,2021-12-01,2021-12-01,NA
tri00100,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Not yet recruiting,FALSE,ChiCTR2000029436,2020-12-31,2020-12-31,2020-12-31,NA
tri00101,2020-03-31,2020-03-31,2020-03-31,2020-03-31,Not yet recruiting,FALSE,ChiCTR2000029435,2020-03-31,2020-03-31,2020-03-31,NA
tri00102,2020-04-30,2020-04-30,2020-04-30,2020-04-30,Not yet recruiting,FALSE,ChiCTR2000029432,2020-04-30,2020-04-30,2020-04-30,NA
tri00103,2021-12-31,NA,2021-12-31,2021-12-31,Recruiting,FALSE,ChiCTR2000029431,2021-12-31,2021-12-31,2021-12-31,NA
tri00105,2020-08-31,2020-08-31,2020-08-31,2020-08-31,Recruiting,FALSE,ChiCTR2000029418,2020-08-31,2020-08-31,2020-08-31,2020-02-26
tri00106,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Recruiting,FALSE,ChiCTR2000029400,2020-12-31,2020-12-31,2020-12-31,2020-03-23
tri00107,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Completed,TRUE,ChiCTR2000029381,2020-12-31,2020-12-31,2020-12-31,NA
tri00108,2020-04-30,2020-04-30,2020-04-30,2020-04-30,Not yet recruiting,FALSE,NCT04268537,2020-04-30,2020-04-30,2020-10-31,NA
tri00109,2020-03-30,2020-03-30,2020-03-30,2020-03-30,Recruiting,FALSE,ChiCTR2000030188,2020-03-30,2020-03-30,2020-03-30,NA
tri00112,2020-04-17,2020-04-17,2020-04-17,2020-04-17,Not yet recruiting,FALSE,ChiCTR2000030173,2020-04-17,2020-04-17,2020-04-17,NA
tri00113,2020-07-31,2020-07-31,2020-07-31,2020-07-31,Recruiting,FALSE,ChiCTR2000030170,2020-07-31,2020-07-31,2020-07-31,NA
tri00114,2020-09-01,2020-09-01,2020-09-01,2020-09-01,Not yet recruiting,FALSE,ChiCTR2000030167,2020-09-01,2020-09-01,2020-09-01,NA
tri00115,2020-05-14,2020-05-14,2020-05-14,2020-05-14,Not yet recruiting,FALSE,ChiCTR2000030166,2020-05-14,2020-05-14,2020-05-14,NA
tri00116,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Recruiting,FALSE,ChiCTR2000030165,2020-12-31,2020-12-31,2020-12-31,NA
tri00118,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Not yet recruiting,FALSE,ChiCTR2000030138,2020-05-31,2020-05-31,2020-05-31,NA
tri00122,2021-12-14,NA,2021-12-14,2021-12-14,Recruiting,FALSE,ChiCTR2000030117,2021-12-14,2021-12-14,2021-12-14,NA
tri00123,2020-08-31,2020-08-31,2020-08-31,2020-08-31,Recruiting,FALSE,ChiCTR2000030116,2020-08-31,2020-08-31,2020-08-31,NA
tri00125,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Recruiting,FALSE,ChiCTR2000030113,2020-05-31,2020-05-31,2020-05-31,NA
tri00126,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Recruiting,FALSE,ChiCTR2000030102,2020-05-31,2020-05-31,2020-05-31,NA
tri00129,2021-03-31,2021-03-31,2021-03-31,2021-03-31,Not yet recruiting,FALSE,ChiCTR2000030093,2021-03-31,2021-03-31,2021-03-31,NA
tri00132,2020-08-31,2020-08-31,2020-08-31,2020-08-31,Not yet recruiting,FALSE,ChiCTR2000030089,2020-08-31,2020-08-31,2020-08-31,NA
tri00133,2021-12-31,NA,2021-12-31,2021-12-31,Not yet recruiting,FALSE,ChiCTR2000030088,2021-12-31,2021-12-31,2021-12-31,NA
tri00136,2022-02-01,NA,2022-02-01,2022-02-01,Recruiting,FALSE,ChiCTR2000030084,2022-02-01,2022-02-01,2022-02-01,NA
tri00137,2020-05-30,2020-05-30,2020-05-30,2020-05-30,Not yet recruiting,FALSE,ChiCTR2000030058,2020-05-30,2020-05-30,2020-05-30,2020-05-25
tri00139,2020-05-21,2020-05-21,2020-05-21,2020-05-21,Not yet recruiting,FALSE,ChiCTR2000030054,2020-05-21,2020-05-21,2020-05-21,NA
tri00140,2020-04-07,2020-04-07,2020-04-07,2020-04-07,Recruiting,FALSE,ChiCTR2000030046,2020-04-07,2020-04-07,2020-04-07,NA
tri00141,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Not yet recruiting,FALSE,ChiCTR2000030043,2020-12-31,2020-12-31,2020-12-31,NA
tri00142,2020-06-30,2020-06-30,2020-06-30,2020-06-30,Not yet recruiting,FALSE,ChiCTR2000030041,2020-06-30,2020-06-30,2020-06-30,NA
tri00143,2020-02-01,2020-02-01,2020-02-01,2020-02-01,Recruiting,FALSE,ChiCTR2000030039,2020-02-01,2020-02-01,2020-02-01,NA
tri00144,2020-06-30,2020-06-30,2020-06-30,2020-06-30,Recruiting,FALSE,ChiCTR2000030034,2020-06-30,2020-06-30,2020-06-30,NA
tri00145,2020-06-30,2020-06-30,2020-06-30,2020-06-30,Not yet recruiting,FALSE,ChiCTR2000030033,2020-06-30,2020-06-30,2020-06-30,NA
tri00148,2020-05-30,2020-05-30,2020-05-30,2020-05-30,Not yet recruiting,FALSE,ChiCTR2000030029,2020-05-30,2020-05-30,2020-05-30,NA
tri00149,2021-02-18,2021-02-18,2021-02-18,2021-02-18,Recruiting,FALSE,ChiCTR2000030027,2021-02-18,2021-02-18,2021-02-18,NA
tri00151,2022-02-05,NA,2022-02-05,2022-02-05,Recruiting,FALSE,ChiCTR2000030020,2022-02-05,2022-02-05,2022-02-05,NA
tri00154,2022-12-31,NA,2022-12-31,2022-12-31,Recruiting,FALSE,ChiCTR2000030016,2022-12-31,2022-12-31,2022-12-31,NA
tri00156,NA,NA,NA,NA,NA,NA,ChiCTR2000030012,NA,NA,NA,NA
tri00157,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Not yet recruiting,FALSE,ChiCTR2000030010,2020-05-31,2020-05-31,2020-05-31,NA
tri00159,2020-04-10,2020-04-10,2020-04-10,2020-04-10,Not yet recruiting,FALSE,ChiCTR2000030007,2020-04-10,2020-04-10,2020-04-10,2020-04-10
tri00160,2020-05-19,2020-05-19,2020-05-19,2020-05-19,Recruiting,FALSE,ChiCTR2000030006,2020-05-19,2020-05-19,2020-05-19,NA
tri00162,2020-07-01,2020-07-01,2020-07-01,2020-07-01,Not yet recruiting,FALSE,ChiCTR2000030003,2020-07-01,2020-07-01,2020-07-01,NA
tri00163,2020-07-30,2020-07-30,2020-07-30,2020-07-30,Recruiting,FALSE,ChiCTR2000030002,2020-07-30,2020-07-30,2020-07-30,NA
tri00164,2020-05-28,2020-05-28,2020-05-28,2020-05-28,Recruiting,FALSE,ChiCTR2000030001,2020-05-28,2020-05-28,2020-05-28,NA
tri00165,NA,NA,NA,NA,NA,NA,ChiCTR2000030000,NA,NA,NA,NA
tri00166,NA,NA,NA,NA,NA,NA,ChiCTR2000029999,NA,NA,NA,NA
tri00167,2020-04-20,2020-04-20,2020-04-20,2020-04-20,Recruiting,FALSE,ChiCTR2000029996,2020-04-20,2020-04-20,2020-04-20,NA
tri00169,2020-08-19,2020-08-19,2020-08-19,2020-08-19,Not yet recruiting,FALSE,ChiCTR2000029994,2020-08-19,2020-08-19,2020-08-19,NA
tri00170,2020-05-20,2020-05-20,2020-05-20,2020-05-20,Not yet recruiting,FALSE,ChiCTR2000029992,2020-05-20,2020-05-20,2020-05-20,NA
tri00171,2020-03-31,2020-03-31,2020-03-31,2020-03-31,Recruiting,FALSE,ChiCTR2000029990,2020-03-31,2020-03-31,2020-03-31,2020-02-16
tri00172,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Not yet recruiting,FALSE,ChiCTR2000029989,2020-05-31,2020-05-31,2020-05-31,NA
tri00173,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Recruiting,FALSE,ChiCTR2000029988,2020-05-31,2020-05-31,2020-05-31,NA
tri00176,2020-07-31,2020-07-31,2020-07-31,2020-07-31,Not yet recruiting,FALSE,ChiCTR2000029978,2020-07-31,2020-07-31,2020-07-31,NA
tri00177,2020-08-31,2020-08-31,2020-08-31,2020-08-31,Recruiting,FALSE,ChiCTR2000029974,2020-08-31,2020-08-31,2020-08-31,NA
tri00178,2020-05-17,2020-05-17,2020-05-17,2020-05-17,Recruiting,FALSE,ChiCTR2000029972,2020-05-17,2020-05-17,2020-05-17,2020-05-18
tri00179,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Not yet recruiting,FALSE,ChiCTR2000029960,2020-05-31,2020-05-31,2020-05-31,NA
tri00181,2020-07-01,2020-07-01,2020-07-01,2020-07-01,Not yet recruiting,FALSE,ChiCTR2000029956,2020-07-01,2020-07-01,2020-07-01,NA
tri00182,2020-02-10,2020-02-10,2020-02-10,2020-02-10,Recruiting,FALSE,ChiCTR2000029954,2020-02-10,2020-02-10,2020-02-10,NA
tri00185,2020-03-10,2020-03-10,2020-03-10,2020-03-10,Recruiting,FALSE,ChiCTR2000029851,2020-03-10,2020-03-10,2020-03-10,2020-04-07
tri00186,2021-02-20,2021-02-20,2021-02-20,2021-02-20,Suspending,FALSE,ChiCTR2000029803,2021-02-20,2021-02-20,2021-02-20,NA
tri00187,2020-06-30,2020-06-30,2020-06-30,2020-06-30,Recruiting,FALSE,ChiCTR2000029781,2020-06-30,2020-06-30,2020-06-30,NA
tri00188,2020-06-09,2020-06-09,2020-06-09,2020-06-09,Recruiting,FALSE,ChiCTR2000029780,2020-06-09,2020-06-09,2020-06-09,NA
tri00189,2020-02-29,2020-02-29,2020-02-29,2020-02-29,Recruiting,FALSE,ChiCTR2000029740,2020-02-29,2020-02-29,2020-02-29,NA
tri00191,2020-05-30,2020-05-30,2020-05-30,2020-05-30,Not yet recruiting,FALSE,NCT04273529,2020-05-30,2020-05-30,2020-06-30,NA
tri00192,2020-04-30,2020-04-30,2020-04-30,2020-04-30,Not yet recruiting,FALSE,NCT04273581,2020-04-30,2020-04-30,2020-05-30,NA
tri00193,2020-03-09,2020-03-09,2020-03-09,2020-03-09,Completed,TRUE,NCT04275245,2020-03-09,2020-03-09,2020-03-09,2020-03-09
tri00195,2021-12-01,NA,2021-12-01,2021-12-01,Recruiting,FALSE,NCT04279197,2021-12-01,2021-03-24,2021-12-01,NA
tri00201,2020-10-01,2020-10-01,2020-10-01,2020-10-01,Not yet recruiting,FALSE,ChiCTR2000030433,2020-10-01,2020-10-01,2020-10-01,NA
tri00202,2020-08-27,2020-08-27,2020-08-27,2020-08-27,Not yet recruiting,FALSE,ChiCTR2000030432,2020-08-27,2020-08-27,2020-08-27,NA
tri00203,2022-05-02,NA,2022-05-02,2022-05-02,Not yet recruiting,FALSE,ChiCTR2000030424,2022-05-02,2022-05-02,2022-05-02,NA
tri00204,2020-08-31,2020-08-31,2020-08-31,2020-08-31,Not yet recruiting,FALSE,ChiCTR2000030420,2020-08-31,2020-08-31,2020-08-31,NA
tri00205,2021-03-01,2021-03-01,2021-03-01,2021-03-01,Recruiting,FALSE,ChiCTR2000030418,2021-03-01,2021-03-01,2021-03-01,NA
tri00206,NA,NA,NA,NA,NA,NA,ChiCTR2000030398,NA,NA,NA,NA
tri00211,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Not yet recruiting,FALSE,ChiCTR2000030386,2020-12-31,2020-12-31,2020-12-31,NA
tri00220,2021-03-30,2021-03-30,2021-03-30,2021-03-30,Not yet recruiting,FALSE,ChiCTR2000030317,2021-03-30,2021-03-30,2021-03-30,NA
tri00222,2020-04-28,2020-04-28,2020-04-28,2020-04-28,Not yet recruiting,FALSE,ChiCTR2000030314,2020-04-28,2020-04-28,2020-04-28,NA
tri00227,2021-02-23,2021-02-23,2021-02-23,2021-02-23,Not yet recruiting,FALSE,ChiCTR2000030265,2021-02-23,2021-02-23,2021-02-23,NA
tri00230,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Not yet recruiting,FALSE,ChiCTR2000030261,2020-05-31,2020-05-31,2020-05-31,2020-09-04
tri00231,2021-02-26,2021-02-26,2021-02-26,2021-02-26,Not yet recruiting,FALSE,ChiCTR2000030260,2021-02-26,2021-02-26,2021-02-26,NA
tri00232,2020-04-30,2020-04-30,2020-04-30,2020-04-30,Recruiting,FALSE,ChiCTR2000030259,2020-04-30,2020-04-30,2020-04-30,NA
tri00233,2020-08-20,2020-08-20,2020-08-20,2020-08-20,Not yet recruiting,FALSE,ChiCTR2000030258,2020-08-20,2020-08-20,2020-08-20,NA
tri00235,2020-07-31,2020-07-31,2020-07-31,2020-07-31,Not yet recruiting,FALSE,ChiCTR2000030255,2020-07-31,2020-07-31,2020-07-31,NA
tri00238,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Not yet recruiting,FALSE,ChiCTR2000030225,2020-12-31,2020-12-31,2020-12-31,NA
tri00241,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Recruiting,FALSE,ChiCTR2000030219,2020-12-31,2020-12-31,2020-12-31,NA
tri00242,2020-06-25,2020-06-25,2020-06-25,2020-06-25,Recruiting,FALSE,ChiCTR2000030218,2020-06-25,2020-06-25,2020-06-25,NA
tri00243,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Not yet recruiting,FALSE,ChiCTR2000030215,2020-12-31,2020-12-31,2020-12-31,NA
tri00244,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Not yet recruiting,FALSE,ChiCTR2000030196,2020-05-31,2020-05-31,2020-05-31,NA
tri00248,2020-05-22,2020-05-22,2020-05-22,2020-05-22,Not yet recruiting,FALSE,ChiCTR2000030022,2020-05-22,2020-05-22,2020-05-22,2020-04-05
tri00249,2020-06-30,2020-06-30,2020-06-30,2020-06-30,Not yet recruiting,FALSE,ChiCTR2000030013,2020-06-30,2020-06-30,2020-06-30,NA
tri00250,2020-07-18,2020-07-18,2020-07-18,2020-07-18,Recruiting,FALSE,ChiCTR2000029991,2020-07-18,2020-07-18,2020-07-18,NA
tri00251,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Not yet recruiting,FALSE,ChiCTR2000029975,2020-05-31,2020-05-31,2020-05-31,NA
tri00254,2020-04-30,2020-04-30,2020-04-30,2020-04-30,Recruiting,FALSE,ChiCTR2000029899,2020-04-30,2020-04-30,2020-04-30,NA
tri00255,2020-04-30,2020-04-30,2020-04-30,2020-04-30,Recruiting,FALSE,ChiCTR2000029898,2020-04-30,2020-04-30,2020-04-30,NA
tri00261,2020-05-30,2020-05-30,2020-05-30,2020-05-30,Recruiting,FALSE,ChiCTR2000029755,2020-05-30,2020-05-30,2020-05-30,NA
tri00263,2021-01-25,2021-01-25,2021-01-25,2021-01-25,Recruiting,FALSE,ChiCTR2000029387,2021-01-25,2021-01-25,2021-01-25,2020-03-24
tri00264,2021-01-29,2021-01-29,2021-01-29,2021-01-29,Recruiting,FALSE,ChiCTR2000029386,2021-01-29,2021-01-29,2021-01-29,NA
tri00265,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Completed,TRUE,NCT04276987,2020-05-31,2020-05-31,2020-07-31,NA
tri00267,2020-07-07,2020-07-07,2020-07-07,2020-07-07,Recruiting,FALSE,NCT04282902,2020-04-30,2020-07-07,2020-07-07,2020-03-03
tri00269,2021-02-28,2021-02-28,2021-02-28,2021-02-28,Not yet recruiting,FALSE,NCT04286503,2021-02-28,2021-02-28,2021-02-28,NA
tri00270,2020-05-30,2020-05-30,2020-05-30,2020-05-30,Recruiting,FALSE,ChiCTR2000030627,2020-05-30,2020-05-30,2020-05-30,NA
tri00274,2021-02-01,2021-02-01,2021-02-01,2021-02-01,Not yet recruiting,FALSE,ChiCTR2000030578,2021-02-01,2021-02-01,2021-02-01,NA
tri00285,2020-06-08,2020-06-08,2020-06-08,2020-06-08,Not yet recruiting,FALSE,ChiCTR2000030540,2020-06-08,2020-06-08,2020-06-08,NA
tri00286,2020-03-30,2020-03-30,2020-03-30,2020-03-30,Recruiting,FALSE,ChiCTR2000030535,2020-03-30,2020-03-30,2020-03-30,NA
tri00287,2020-09-09,2020-09-09,2020-09-09,2020-09-09,Completed,TRUE,ChiCTR2000030522,2020-09-09,2020-09-09,2020-09-09,NA
tri00288,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Recruiting,FALSE,ChiCTR2000030518,2020-05-31,2020-05-31,2020-05-31,NA
tri00289,2022-06-30,NA,2022-06-30,2022-06-30,Recruiting,FALSE,ChiCTR2000030503,2022-06-30,2022-06-30,2022-06-30,NA
tri00293,2020-03-31,2020-03-31,2020-03-31,2020-03-31,Recruiting,FALSE,ChiCTR2000030490,2020-03-31,2020-03-31,2020-03-31,NA
tri00295,2020-05-04,2020-05-04,2020-05-04,2020-05-04,Recruiting,FALSE,ChiCTR2000030487,2020-05-04,2020-05-04,2020-05-04,NA
tri00297,2021-01-31,2021-01-31,2021-01-31,2021-01-31,Not yet recruiting,FALSE,ChiCTR2000030484,2021-01-31,2021-01-31,2021-01-31,NA
tri00299,2020-04-30,2020-04-30,2020-04-30,2020-04-30,Recruiting,FALSE,ChiCTR2000030481,2020-04-30,2020-04-30,2020-04-30,NA
tri00301,2021-02-25,2021-02-25,2021-02-25,2021-02-25,Not yet recruiting,FALSE,ChiCTR2000030479,2021-02-25,2021-02-25,2021-02-25,NA
tri00302,2020-06-25,2020-06-25,2020-06-25,2020-06-25,Not yet recruiting,FALSE,ChiCTR2000030477,2020-06-25,2020-06-25,2020-06-25,NA
