id,date_completion_rcd_latest,date_completion_rcd_latest_pre_cutoff,date_completion_last_updated_exclude_missing_update_date,date_completion_last_updated_prefer_euctr,trial_status_last_updated_prefer_euctr,status_complete_last_updated_prefer_euctr,trn_ictrp_priority,date_completion_ictrp,date_completion_22_21_last_updated_prefer_euctr,date_completion_study_last_updated_prefer_euctr,date_completion_results
tri01149,2022-04-15,NA,2022-04-15,2022-04-15,Recruiting,FALSE,NCT04357366,2022-04-15,2022-04-15,2022-04-15,NA
tri01153,2021-01-29,2021-01-29,2020-12-01,2021-01-29,NA,FALSE,NCT04357613,2020-12-01,2021-01-29,2021-01-29,NA
tri01154,2020-10-13,2020-10-13,2020-10-13,2020-10-13,Completed,TRUE,NCT04357782,2020-10-13,2020-10-13,2020-10-13,NA
tri01155,2020-11-30,2020-11-30,2020-11-30,2020-11-30,Completed,TRUE,NCT04357808,2020-11-30,2020-11-30,2020-12-04,NA
tri01157,2021-03-09,2021-03-09,2021-03-09,2021-03-09,Completed,TRUE,NCT04357860,2021-03-09,2021-04-06,2021-04-06,NA
tri01161,2021-05-01,2021-05-01,2021-05-01,2021-05-01,"Active, not recruiting",FALSE,NCT04358406,2021-05-01,2021-05-01,2021-06-01,NA
tri01164,2020-04-05,2020-04-05,2020-04-05,2020-04-05,Completed,TRUE,NCT04358614,2020-04-05,2020-04-05,2020-04-07,NA
tri01167,2021-02-28,2021-02-28,2021-02-28,2021-02-28,Recruiting,FALSE,NCT04358809,2021-02-28,2021-07-13,2021-04-30,NA
tri01168,2021-03-20,2021-03-20,2021-03-20,2021-03-20,Recruiting,FALSE,NCT04359095,2021-03-20,2021-03-20,2021-06-30,2021-04-17
tri01169,2020-03-25,2020-03-25,2020-03-25,2020-03-25,Completed,TRUE,NCT04359251,2020-03-25,2020-03-25,2020-03-25,NA
tri01170,2020-12-01,2020-12-01,2020-12-01,2020-12-01,"Active, not recruiting",FALSE,NCT04359290,2020-12-01,2021-07-30,2021-07-01,2020-11-25
tri01171,2020-05-03,2020-05-03,2020-05-03,2020-05-03,Not yet recruiting,FALSE,NCT04359316,2020-05-03,2020-05-03,2020-05-05,NA
tri01172,2020-11-15,2020-11-15,2020-11-15,2020-11-15,Recruiting,FALSE,NCT04359329,2020-11-15,2020-07-30,2020-11-15,NA
tri01174,2020-05-03,2020-05-03,2020-05-03,2020-05-03,Not yet recruiting,FALSE,NCT04359615,2020-05-03,2020-05-03,2020-05-05,NA
tri01179,2021-06-01,2021-06-01,2021-06-01,2021-06-01,Recruiting,FALSE,NCT04359953,2021-06-01,2021-06-02,2021-06-01,NA
tri01181,2021-08-15,NA,2021-08-15,2021-08-15,Recruiting,FALSE,NCT04360096,2021-08-15,2021-12-15,2021-09-01,NA
tri01182,2020-10-01,2020-10-01,2020-10-01,2020-10-01,Not yet recruiting,FALSE,NCT04360356,2020-10-01,2020-10-01,2020-12-01,NA
tri01185,2021-06-30,2021-06-30,2021-06-30,2021-06-30,Recruiting,FALSE,NCT04360551,2021-06-30,2021-06-30,2021-06-30,NA
tri01188,2021-04-01,2021-04-01,2021-04-01,2021-04-01,Recruiting,FALSE,NCT04360811,2021-04-01,2022-04-01,2022-04-01,NA
tri01193,2021-09-01,NA,2021-09-01,2021-09-01,Recruiting,FALSE,NCT04360980,2021-09-01,2021-01-01,2021-11-30,NA
tri01195,2020-10-01,2020-10-01,2020-10-01,2020-10-01,Not yet recruiting,FALSE,NCT04361318,2020-10-01,2020-10-01,2020-12-01,NA
tri01196,2021-08-01,NA,2021-08-01,2021-08-01,Not yet recruiting,FALSE,NCT04361422,2021-08-01,2021-08-01,2021-12-01,NA
tri01197,2020-07-31,2020-07-31,2020-07-31,2020-07-31,Not yet recruiting,FALSE,NCT04361435,2020-07-31,2020-07-31,2020-12-31,NA
tri01201,2020-07-01,2020-07-01,2020-07-01,2020-07-01,Recruiting,FALSE,NCT04361526,2020-07-01,2020-07-01,2020-07-01,NA
tri01206,2020-06-30,2020-06-30,2020-06-30,2020-06-30,Terminated,TRUE,NCT04361916,2020-06-30,2020-06-30,2020-06-30,NA
tri01208,2021-01-01,2021-01-01,2021-01-01,2021-01-01,Recruiting,FALSE,NCT04362111,2021-01-01,2022-01-01,2021-03-01,NA
tri01210,2021-10-01,NA,2021-10-01,2021-10-01,Not yet recruiting,FALSE,NCT04362358,2021-10-01,2021-09-01,2021-10-01,NA
tri01217,2020-10-30,2020-10-30,2020-10-30,2020-10-30,Recruiting,FALSE,NCT04363528,2020-10-30,2020-12-30,2020-10-30,NA
tri01218,2022-04-01,NA,2022-04-01,2022-04-01,Recruiting,FALSE,NCT04363541,2022-04-01,2022-04-01,2022-06-01,NA
tri01220,2021-01-11,2021-01-11,2021-01-11,2021-01-11,"Active, not recruiting",FALSE,NCT04363749,2021-01-11,2021-01-11,2021-08-11,NA
tri01222,2020-12-01,2020-12-01,2020-12-01,2020-12-01,Not yet recruiting,FALSE,NCT04363840,2020-12-01,2020-12-01,2020-12-01,NA
tri01224,2021-03-24,2021-03-24,2021-03-24,2021-03-24,Completed,TRUE,NCT04364022,2021-03-24,2021-03-24,2021-03-24,2021-03-19
tri01227,2020-08-20,2020-08-20,2020-08-20,2020-08-20,Completed,TRUE,NCT04365127,2020-08-20,2020-08-20,2020-08-20,2020-08-20
tri01228,2020-12-20,2020-12-20,2020-12-20,2020-12-20,"Active, not recruiting",FALSE,NCT04365439,2020-12-20,2020-12-20,2021-06-30,NA
tri01230,2021-01-31,2021-01-31,2021-01-31,2021-01-31,Completed,TRUE,NCT04365699,2021-01-31,2021-01-31,2021-01-31,NA
tri01234,2021-05-01,2021-05-01,2021-05-01,2021-05-01,Recruiting,FALSE,NCT04366050,2021-05-01,2021-05-01,2021-05-01,NA
tri01238,2021-03-15,2021-03-15,2021-03-15,2021-03-15,"Active, not recruiting",FALSE,ACTRN12620000516987,2021-03-15,2021-03-15,2021-03-15,NA
tri01239,2021-07-25,NA,2021-07-25,2021-07-25,Recruiting,FALSE,ACTRN12620000517976,2021-07-25,2021-07-25,2021-07-25,NA
tri01241,2020-06-26,2020-06-26,2020-06-26,2020-06-26,Completed,TRUE,ISRCTN13311119,2020-06-26,2020-06-26,2020-06-26,NA
tri01242,2020-12-20,2020-12-20,2020-12-20,2020-12-20,Completed,TRUE,ISRCTN17898730,2020-12-20,2020-12-20,2020-12-20,NA
tri01243,2022-03-18,2021-04-01,2022-03-18,2022-03-18,Recruiting,FALSE,NCT04330690,2022-03-18,2022-03-18,2022-05-18,NA
tri01246,2021-05-01,2021-05-01,2021-05-01,2021-05-01,Recruiting,FALSE,ChiCTR2000032573,2021-05-01,2021-05-01,2021-05-01,NA
tri01249,2020-09-30,2020-09-30,2020-09-30,2020-09-30,Not yet recruiting,FALSE,ChiCTR2000032487,2020-09-30,2020-09-30,2020-09-30,NA
tri01255,2021-11-28,NA,2021-11-28,2021-11-28,Recruiting,FALSE,ChiCTR2000032459,2021-11-28,2021-11-28,2021-11-28,NA
tri01257,2020-05-31,2020-05-31,2020-05-31,2020-05-31,Recruiting,FALSE,ChiCTR2000032457,2020-05-31,2020-05-31,2020-05-31,NA
tri01258,2020-05-01,2020-05-01,2020-05-01,2020-05-01,Completed,TRUE,ChiCTR2000032456,2020-05-01,2020-05-01,2020-05-01,NA
tri01259,2021-12-31,NA,2021-12-31,2021-12-31,Recruiting,FALSE,ChiCTR2000032455,2021-12-31,2021-12-31,2021-12-31,NA
tri01260,2020-12-31,2020-12-31,2020-12-31,2020-12-31,Not yet recruiting,FALSE,ChiCTR2000032135,2020-12-31,2020-12-31,2020-12-31,NA
tri01263,2020-09-30,2020-09-30,2020-09-30,2020-09-30,Not yet recruiting,FALSE,ChiCTR2000031174,2020-09-30,2020-09-30,2020-09-30,NA
tri01264,NA,NA,NA,NA,NA,NA,EUCTR2020-001723-13,NA,NA,NA,NA
tri01266,NA,NA,NA,NA,NA,NA,EUCTR2020-001686-36,NA,NA,NA,NA
tri01269,NA,NA,NA,NA,NA,NA,EUCTR2020-001505-22,NA,NA,NA,NA
tri01270,NA,NA,NA,NA,NA,NA,EUCTR2020-001717-20,NA,NA,NA,NA
tri01271,NA,NA,NA,NA,NA,NA,EUCTR2020-001541-39,NA,NA,NA,NA
tri01272,NA,NA,NA,NA,NA,NA,EUCTR2020-001618-39,NA,NA,NA,NA
tri01273,2020-08-31,2020-08-31,2020-08-31,2020-08-31,NA,FALSE,EUCTR2020-001408-41,2020-08-31,2020-08-31,2020-08-31,NA
tri01275,2020-05-10,2020-05-10,2020-05-10,2020-05-10,"Active, not recruiting",FALSE,NCT04273763,2020-05-10,2020-05-10,2020-06-01,NA
tri01277,2022-01-31,NA,2022-01-31,2022-01-31,Recruiting,FALSE,NCT04321096,2022-01-31,2021-09-06,2022-05-01,2021-01-30
tri01278,2021-03-31,2021-03-31,2021-03-31,2021-03-31,"Active, not recruiting",FALSE,NCT04328441,2021-03-31,2021-03-31,2021-05-30,NA
tri01279,2021-04-25,2021-04-25,2021-04-25,2021-04-25,Completed,TRUE,NCT04328480,2021-04-25,2021-04-25,2021-04-26,NA
tri01280,2020-11-11,2020-11-11,2020-11-11,2020-11-11,Terminated,TRUE,NCT04329923,2020-11-11,2020-11-11,2020-11-13,NA
tri01281,2021-06-14,2021-06-14,2021-06-14,2021-06-14,"Active, not recruiting",FALSE,NCT04334928,2021-06-14,2021-07-11,2021-07-31,NA
tri01282,2020-09-27,2020-09-27,2020-09-27,2020-09-27,Terminated,TRUE,NCT04335071,2020-09-27,2020-09-27,2020-09-27,NA
tri01283,2021-07-31,NA,2021-07-31,2021-07-31,Recruiting,FALSE,NCT04338958,2021-07-31,2021-06-30,2021-07-31,NA
tri01285,2020-06-20,2020-06-20,2020-06-20,2020-06-20,Recruiting,FALSE,NCT04344457,2020-06-20,2020-06-20,2020-09-30,NA
