id,trn_all,in_ictrp,trn_ictrp,n_ictrp,is_intervention,is_reg_2020,is_not_withdrawn_ictrp,in_registries,trn_registries,n_registries,is_not_withdrawn_registry,is_any_rcd_cutoff_3,is_not_withdrawn_auto,is_not_phase_1_manually_excluded,is_clinical_trial_manual,is_covid_manual,is_not_withdrawn_manual,is_extracted,is_pass_screening_auto,is_pass_screening_manual_ignore_cd,is_pass_screening_manual
tri00026,ChiCTR2000029822,TRUE,ChiCTR2000029822,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029822,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00027,ChiCTR2000029821,TRUE,ChiCTR2000029821,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029821,1,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00028,ChiCTR2000029819,TRUE,ChiCTR2000029819,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029819,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00029,ChiCTR2000029815,TRUE,ChiCTR2000029815,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029815,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00030,ChiCTR2000029814,TRUE,ChiCTR2000029814,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029814,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00031,ChiCTR2000029813,TRUE,ChiCTR2000029813,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029813,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00032,ChiCTR2000029811,TRUE,ChiCTR2000029811,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029811,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
tri00033,ChiCTR2000029810,TRUE,ChiCTR2000029810,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029810,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00034,ChiCTR2000029806,TRUE,ChiCTR2000029806,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029806,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00035,ChiCTR2000029805,TRUE,ChiCTR2000029805,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029805,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00036,ChiCTR2000029804,TRUE,ChiCTR2000029804,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029804,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00037,ChiCTR2000029790,TRUE,ChiCTR2000029790,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029790,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00038,ChiCTR2000029789,TRUE,ChiCTR2000029789,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029789,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE
tri00039,ChiCTR2000029788,TRUE,ChiCTR2000029788,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029788,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00040,ChiCTR2000029782,TRUE,ChiCTR2000029782,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029782,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00041,ChiCTR2000029779,TRUE,ChiCTR2000029779,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029779,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00042,ChiCTR2000029778,TRUE,ChiCTR2000029778,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029778,1,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00043,ChiCTR2000029777,TRUE,ChiCTR2000029777,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029777,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00044,ChiCTR2000029776,TRUE,ChiCTR2000029776,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029776,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00045,ChiCTR2000029769,TRUE,ChiCTR2000029769,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029769,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00046,ChiCTR2000029768,TRUE,ChiCTR2000029768,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029768,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00047,ChiCTR2000029765,TRUE,ChiCTR2000029765,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029765,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00048,ChiCTR2000029764,TRUE,ChiCTR2000029764,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029764,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00049,ChiCTR2000029763,TRUE,ChiCTR2000029763,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029763,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00050,ChiCTR2000029758,TRUE,ChiCTR2000029758,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029758,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
